NOMREG;NOMDEP;DATEAPPELLATION;FERME;ANNREOUV;ANNEXE;NOM DU MUSEE;ADR;CP;VILLE;SITWEB;FERMETURE ANNUELLE;PERIODE OUVERTURE;JOURS NOCTURNES;latitude;longitude;result_address;result_score;result_type;result_id
ALSACE;BAS-RHIN;01/02/2003;NON;;;Musée des Arts Décoratifs;"Palais Rohan
2, Place du Château";67000;STRASBOURG;www.musees-strasbourg.eu;1er janvier, vendredi saint, 1er mai, 1er et 11 novembre, 25 décembre;Ouvert le lundi et du mercredi au dimanche de 10h à 18h;;48.581323;7.751359;Place du Château 67000 Strasbourg;0.65;street;67482_1255_7d58d1
ALSACE;BAS-RHIN;23/06/2008;NON;;;Musée Tomi Ungerer;"Villa Greiner
2, avenue de la Marseillaise";67000;STRASBOURG;www.musees-strasbourg.eu;1er janvier, Vendredi Saint, 1er mai, 1er et 11 novembre, 25 décembre;Ouvert le lundi, mercredi au dimanche de 10h à 18h;;48.585556;7.755619;2 Avenue de la Marseillaise 67000 Strasbourg;0.72;housenumber;67482_4325_12ae0e
ALSACE;BAS-RHIN;01/02/2003;NON;;;Musée des Beaux-Arts;"Palais Rohan
2, Place du Château";67000;STRASBOURG;www.musees.strasbourg.eu;1er janvier, vendredi saint, 1er mai, 1er et 11 novembre, 25 décembre;Ouvert le lundi et du mercredi au dimanche de 10h à 18h;;48.581323;7.751359;Place du Château 67000 Strasbourg;0.65;street;67482_1255_7d58d1
ALSACE;BAS-RHIN;01/02/2003;NON;29 Juin 2007;;Musée Historique;2, Rue du Vieux Marché aux Poissons;67000;STRASBOURG;www.musees-strasbourg.eu;;Ouvert du mardi au dimanche de 10h à 18h;;48.580496;7.74967;Rue du Vieux Marche aux Poissons 67000 Strasbourg;0.9;street;67482_XXXX_7f1a59
ALSACE;BAS-RHIN;01/02/2003;NON;;;Musée Alsacien;23-25, Quai Saint-Nicolas;67000;STRASBOURG;www.musees-strasbourg.eu;1er janvier, vendredi saint, 1er mai, 1er et 11 novembre, 25 décembre;Ouvert lundi, mercredi au dimanche de 10h à 18h;;48.57862;7.748812;Quai Saint-Nicolas 67000 Strasbourg;0.8;street;67482_6020_5f9269
ALSACE;BAS-RHIN;06/01/2002;NON;;;Musée Archéologique;"Palais Rohan
2, Place du Château";67000;STRASBOURG;www.musees.strasbourg.eu;1er janvier, vendredi saint, 1er mai, 1er et 11 novembre, 25 décembre;Ouvert le lundi et du mercredi au dmanche de 10h à 18h;;48.581323;7.751359;Place du Château 67000 Strasbourg;0.65;street;67482_1255_7d58d1
ALSACE;BAS-RHIN;01/02/2003;NON;;;Musée de l'Œuvre Notre-Dame;3, Place du Château;67000;STRASBOURG;www.musees-strasbourg.eu;1er janvier, vendredi saint, 1er mai, 1er et 11 novembre, 25 décembre;Ouvert du mardi au  dimanche de 10h à 18h;;48.580997;7.751064;3 Place du Château 67000 Strasbourg;0.94;housenumber;67482_1255_7d58d1
ALSACE;BAS-RHIN;01/02/2003;NON;;;Cabinet des Estampes et des Dessins;5, Place du Château;67000;STRASBOURG;www.musees-strasbourg.eu;;Ouvert du lundi au vendredi de 9h à 17h;;48.581108;7.750893;5 Place du Château 67000 Strasbourg;0.94;housenumber;67482_1255_7d58d1
ALSACE;BAS-RHIN;01/02/2003;NON;;;Musée d'Art Moderne et Contemporain de Strasbourg;1 place Hans Jean Arp;67000;STRASBOURG;www.musees-strasbourg.eu;1er janvier, vendredi saint, 1er mai, 1er et 11 novembre, 25 décembre;Ouvert du mardi au dimanche de 10h à 18h;;48.580058;7.736546;1 Place Hans Jean Arp 67000 Strasbourg;0.93;housenumber;67482_3079_7dcd68
ALSACE;BAS-RHIN;01/02/2003;NON;;;Musée Zoologique de l'Université Louis Pasteur et de la Ville de Strasbourg;29, Boulevard de la Victoire;67000;STRASBOURG;www.musees.strasbourg.eu;1er janvier, vendredi saint, 1er mai, 1er et 11 novembre, 25 décembre;Ouvert lundi, mercredi à vendredi de 12h à 18h, samedi et dimanche de 10h à 18h;;48.582685;7.764696;29 Boulevard de la Victoire 67000 Strasbourg;0.94;housenumber;67482_6960_1a4558
ALSACE;BAS-RHIN;01/02/2003;NON;;;Musée J.F. Oberlin;25, Montée Oberlin;67130;WALDERSBACH;www.musee-oberlin.com;1er janvier, vendredi Saint, dimanche de Pâques, 1er mai, dimanche de Pentecôte, 1er novembre, 24, 25, 31 décembre;Ouvert du 1er avril au 30 septembre de 10h à 19h et du 1er octobre au 31 mars de 14h à 18h (matin sur rdv);;48.414761;7.214894;25 Montée Oberlin 67130 Waldersbach;0.91;housenumber;67513_XXXX_9109fb
ALSACE;BAS-RHIN;26/03/2007;NON;1 juillet 2011;;Musée Lalique;40 rue du Hochberg;67290;WINGEN-SUR-MODER;www.musee-lalique.com;Janvier (hors vacances scolaires),  25 décembre;Ouvert d'avril à septembre tous les jours de 10h à 19h, d'octobre à mars du mardi au dimanche de 10h à 18h. Pendant les vacances scolaires de toutes les zones de 10h à 19h;;48.927033;7.361922;40 Rue du Hochberg 67290 Wingen-sur-Moder;0.91;housenumber;67538_0160_3c711c
ALSACE;BAS-RHIN;01/02/2003;OUI;2013;;Musée Westercamp;3, rue du Musée;67160;WISSEMBOURG;www.musee-wissembourg.webmuseo.com ou www.ville-wissembourg.eu;;;;49.038815;7.944344;3 Rue du Musée 67160 Wissembourg;0.92;housenumber;67544_0540_7e5f0a
ALSACE;BAS-RHIN;01/02/2003;NON;;;Musée de la Bataille du 6 Août 1870;2, Rue du Moulin;67360;WOERTH;www.woerth-en-alsace.com;Janvier, les 24, 25, 26 et 31 Décembre et jours fériés;Ouvert d'avril à septembre mercredi, jeudi, samedi, dimanchede 14h à 18h;;48.938618;7.747992;2 Rue du Moulin 67360 Wœrth;0.92;housenumber;67550_0600_2e90aa
ALSACE;HAUT-RHIN;01/02/2003;NON;;;Musée Sundgauvien d'Altkirch;1, Rue de l'Hôtel de Ville;68130;ALTKIRCH;;;Ouvert de septembre à juin le dimanche de 14h30 à 17h30, juillet-août du mardi au dimanche de 14h30 à 17h30. Lors des expositions temporaires du mardi au dimanche de 14h30 à 17h30;;47.623494;7.23739;1 Rue de l'Hôtel de Ville 68130 Altkirch;0.93;housenumber;68004_0250_768107
ALSACE;HAUT-RHIN;01/02/2003;NON;;;Musée Gallo-Romain;Place de la Mairie;68600;BIESHEIM;www.ville-biesheim.fr/museegr.html;Pâques, Ascension, 1er et 8 mai, 14 juillet, 15 août et 1er novembre ainsi que du 24 décembre au 1er janvier inclus;Ouvert le mercredi et vendredi de 14h à 17h30, le jeudi de 9h à 12h et de 14h à 17h30, le samedi et dimanche de 14h à 17h;;48.041378;7.547923;Place de l'École 68600 Biesheim;0.58;street;68036_0105_f6ce1b
ALSACE;HAUT-RHIN;01/02/2003;NON;15 septembre 2007;;Musée de la Porte de Thann;1, Rue de Thann;68700;CERNAY;http://histoire-cernay.perso.sfr.fr ou www.musees-alsace.org;Du 24 décembre au 28 février;"Ouvert de début mai au 2 octobre 2011 les vendredis, samedis de 14h à 17h, les dimanches de 14h à 18h
Sur rendez-vous toute l'année pour les groupes de 10 personnes et plus";;47.809504;7.174289;1 Rue de Thann 68700 Cernay;0.92;housenumber;68063_0820_aba2ae
ALSACE;HAUT-RHIN;01/02/2003;NON;;;Musée d'Unterlinden;1, rue Unterlinden;68000;COLMAR;www.musee-unterlinden.com;1er janvier, 1er  mai, 1er  novembre, 25 décembre;Ouvert de mai à octobre tous les jours de 9h à 18h, de novembre à avril du mercredi au lundi  de 9h à 12h et de 14h à  17h du 8 au 31 décembre tous les jours de 9h à 18h;;48.079733;7.354974;1 Rue d'Unterlinden 68000 Colmar;0.87;housenumber;68066_XXXX_eda049
ALSACE;HAUT-RHIN;01/02/2003;NON;;;Musée Bartholdi;30, Rue des Marchands;68000;COLMAR;www.musee-bartholdi.com ou www.colmar.fr ou www.culture.fr;Janvier et février, 1er mai, 1er novembre, 25 décembre;Ouvert du mercredi au lundi de 10h à 12h et de 14h à 18h du 1 mars au 31 décembre;;48.076747;7.357746;30 Rue des Marchands 68000 Colmar;0.94;housenumber;68066_2600_b6b221
ALSACE;HAUT-RHIN;01/02/2003;NON;;;Musée d'Histoire Naturelle et d'Ethnographie de Colmar;11, Rue Turenne;68000;COLMAR;www.museumcolmar.org;Janvier, 1er mai, 1er novembre et du 24 au 31 décembre;Ouvert du mercredi au lundi de 10h à 12h et de 14h à 17h, le dimanche de 14h à 18h;;48.073594;7.35872;11 Rue Turenne 68000 Colmar;0.94;housenumber;68066_XXXX_243067
ALSACE;HAUT-RHIN;01/02/2003;NON;;;Musée Théodore Deck et des Pays du Florival;1, Rue du Quatre Février;68500;GUEBWILLER;www.ville-guebwiller.fr/musee-deck/;;Ouvert le lundi et du mercredi au vendredi de 14h à 18h, les week-ends et jours féris de 10h à 12h et de 14h à 18h;;47.905522;7.214504;1 Rue du 4 Février 68500 Guebwiller;0.72;housenumber;68112_1040_5bf334
ALSACE;HAUT-RHIN;01/02/2003;NON;;;Musée Historique et Militaire de Huningue;6, rue des Boulangers;68330;HUNINGE;;Août;Ouvert le premier et troisième dimanche du mois de 14h30 à 17h30;;47.591513;7.584985;6 Rue des Boulangers 68330 Huningue;0.84;housenumber;68149_0110_9060d4
ALSACE;HAUT-RHIN;01/02/2003;NON;;;Musée d'Histoire Local;64, avenue du Général de Gaulle;68240;KAYSERSBERG;www.ville-kaysersberg.fr;;Ouvert en juillet-août de 10h à 12h et de 14h à 18h;;48.139072;7.261441;64 Rue du Général de Gaulle 68240 Kaysersberg;0.8;housenumber;68162_0340_60cc45
ALSACE;HAUT-RHIN;01/02/2003;NON;;;Musée du Vignoble et des Vins d'Alsace;Château de la Confrérie St-Etienne;68240;KIENTZHEIM;www.musee-du-vignoble-alsace.fr;Novembre à avril;Ouvert du 1er juin au 31 octobre de 10h à 12h et de 14h à 18h, en mai les week-end et jours de fériés;;;;;;;
ALSACE;HAUT-RHIN;18/11/2002;NON;11 mars 2005;;Cité du Train;2, rue Alfred de Glehn;68200;MULHOUSE;www.citedutrain.com;25 décembre;Ouvert tous les jours du 1er janvier au 11 avril  de 10h à 17h, du 12 avril au 11 novembre de 10h à 18h et du 12 novembre au 31 décembre de 10h à 17h;;47.751091;7.293676;2 Rue Alfred de Glehn 68100 Mulhouse;0.82;housenumber;68224_0115_d2bd97
ALSACE;HAUT-RHIN;01/02/2003;NON;;;Musée Historique;4, Rue des Archives;68100;MULHOUSE;www.musees-mulhouse.fr/musee-historique/collections.html;1er janvier, vendredi saint, lundi de Pâques et de Pentecôte, 1er mai, 14 juillet, 1er et 11 novembre, 25 et 26 décembre;Ouvert du mercredi au lundi de 10h à 12h et de 14h à 18h, 18h30 en juillet-août , 19h en décembre;;47.746535;7.339544;4 Rue des Archives 68100 Mulhouse;0.92;housenumber;68224_0400_27a4fa
ALSACE;HAUT-RHIN;01/02/2003;OUI;Juin 2013;;Musée du Sapeur Pompier;"Association des Amis du Musée
4, Boulevard de la Marseillaise";68100;MULHOUSE;http://musee.spmulhouse.free.fr;;;;47.757665;7.335541;4 Boulevard de la Marseillaise 68100 Mulhouse;0.56;housenumber;68224_4730_b33822
ALSACE;HAUT-RHIN;01/02/2003;NON;;;Musée des Beaux-Arts;4, Place Guillaume-Tell;68100;MULHOUSE;http://www.musees-mulhouse.fr/musee-des-beaux-arts/collections.html;1er janvier, vendredi saint, lundi de Pâques et de Pentecôte, 1er mai, 14 juillet, 1er et 11 novembre, 25 et 26 décembre;Ouvert du mercredi au lundi de 13h à 18h;;47.745774;7.338271;4 Place Guillaume Tell 68100 Mulhouse;0.93;housenumber;68224_3120_41c10d
ALSACE;HAUT-RHIN;01/02/2003;NON;;;Musée de l'Impression sur Etoffes;"14, rue Jean-Jacques Henner
B.P. 1468";68072;MULHOUSE CEDEX;www.musee-impression.com;1er janvier, 1er mai, 25 décembre;Ouvert du mardi au dimanche de 10h à 12h et de 14h à 18h. Ouverture exceptionnelle le 26 décembre de 15h à 18h ainsi que tous les lundi du mois de décembre de 14h à 18h;;47.74415;7.343298;Rue Jean Jacques Henner 68100 Mulhouse;0.52;street;68224_3700_117abb
ALSACE;HAUT-RHIN;01/02/2003;NON;25 mars 2000;;Musée National de l'Automobile - Collection Schlumpf;"192, Avenue de Colmar
CS 91096";68051;MULHOUSE Cedex;www.collection-schlumpf.com;25 décembre;Ouvert du 1er au 4 janvier de 10h à 17h du 5 janvier au 5 février de 14h à 17h le week-end de 10h à 17h, du 6 février au 2 avril de 10h à 17h, du 3 avril au 29 octobre de 10h à 17h, du 30 octobre au 31 décembre de 10h à 17h;;47.760209;7.327993;192 Avenue de Colmar 68100 Mulhouse;0.57;housenumber;68224_1750_96a051
ALSACE;HAUT-RHIN;01/02/2003;NON;;;Musée EDF Electropolis;"55, rue du Pâturage
B.P. 52463";68057;MULHOUSE Cedex;electropolis.edf.com;1er janvier, vendredi saint, 1er mai, 1er et 11 novembre, 25 et 26 décembre;Ouvert du mardi au dimanche de 10h à 18h;;47.749347;7.295182;55 Rue du Pâturage 68200 Mulhouse;0.51;housenumber;68224_5590_5375db
ALSACE;HAUT-RHIN;01/02/2003;OUI;;;Musée Minéralogique de la Société Industrielle de Mulhouse;3, Avenue Alfred-Werner;68093;MULHOUSE Cedex;;;Ouvert sur rendez-vous;;47.732773;7.312173;3 Rue Alfred Werner 68200 Mulhouse;0.53;housenumber;68224_0155_e4ac37
ALSACE;HAUT-RHIN;01/02/2003;NON;;;Musée Vauban;7, Place de la Porte de Belfort;68600;NEUF-BRISACH;www.neuf-brisach.fr;;Ouvert du mercredi au lundi du 1er mai au 30 septembre de 10h à 12h et de 14h à 17h;;48.016059;7.525831;9 Place de la Porte de Belfort 68600 Neuf-Brisach;0.89;housenumber;68231_0340_c2de81
ALSACE;HAUT-RHIN;01/02/2003;NON;;;Maison du Sundgau - Musée Paysan;10, rue Principale;68480;OLTINGUE;http://musee.paysan.free.fr/;Janvier et février;Ouvert du 1er mars au 15 juin, du 1er octobre au 15 décembre le dimanche de 14h à 17h, du 16 juin au 30 septembre mardi, jeudi, samedi, dimanche de 15h à 18h, et du 1er mars au 30 novembre sur rendez-vous pour les groupes;;47.492827;7.391275;10 Rue Principale 68480 Oltingue;0.91;housenumber;68248_0120_8bc0ef
ALSACE;HAUT-RHIN;01/02/2003;NON;;;Musée du Dolder;57, Rue du Général de Gaulle;68340;RIQUEWIHR;Site des musées d'Alsace;Décembre, janvier, février, mars;Ouvert tous les jours du 8  juillet au 19 août  de 14h à 18h, du 6 avril au 8 juillet et du 20 août au 4 novembre les week-ends et jours fériés de 14h à 18h;;48.16694;7.297357;Rue du Général de Gaulle 68340 Riquewihr;0.85;street;68277_0240_74f15a
ALSACE;HAUT-RHIN;01/02/2003;NON;;;Musée du Papier Peint;"La Commanderie  28, rue Zuber
B.P. 41";68171;RIXHEIM Cedex;www.museepapierpeint.org;1er janvier, vendredi saint, 1er mai et 25 décembre;Ouvert tous les jours de 10h à 12h et de 14h à 18h du 2 mai au 31 octobre et de novembre à avril;;47.74438;7.397815;28 Rue Zuber 68170 Rixheim;0.39;housenumber;68278_0880_fb4721
ALSACE;HAUT-RHIN;01/02/2003;NON;;;Musée des Amis de Thann;24, Rue Saint Thiébaut;68800;THANN;www.ville-thann.fr - http://www.genealogiethaznn.org;;Ouvert en juin et septembre vendredi-samedi-dimanche,en juillet-août du mardi au dimanche de 14h à 18h;;47.812283;7.101737;24 Rue Saint-Thiebaut 68800 Thann;0.93;housenumber;68334_0470_68d876
ALSACE;HAUT-RHIN;01/02/2003;NON;;;Ecomusée d'Alsace;B.P. 71;68190;UNGERSHEIM;www.ecomusee-alsace.com;Décembre, janvier, février. Fermé les 17,18,31 mars, les 1, 21, 22, 28, 29 avril et 6, 7, 13, 14,20 ,21 octobre;Ouvert du 22 mars au 3 novembre 2013. De 10h à 18h, en de mars à  juin et de septembre à décembre, du 1er au 11 juillet et du 19 août au 1er septembre de 10h à 18h et du 12 juillet au 18 août  de 10h à 21h;;;;;;;
AQUITAINE;DORDOGNE;01/02/2003;NON;;;Musée d'Anthropologie du Tabac d'Intérêt National;"Maison Peyrarède
Place du Feu";24100;BERGERAC;http://www.bergerac.fr/EspCulture/sitetabac/index.htm;Jours fériés;Ouvert du mardi au vendredi de 10h à 12h et de 14h à 18h, le samedi de 10h à 12h et d'avril à fin septembre le samedi de 14h à 18h et le dimanche de 14h30 à 18h30;;44.849787;0.483514;Place du Feu 24100 Bergerac;0.57;street;24037_1820_70874b
AQUITAINE;DORDOGNE;01/02/2003;NON;;;Château de Bourdeilles;Bourdeilles;24310;BOURDEILLES;Site des musées aquitains;;Ouvert tous les jours en saison et hors saison du mercredi au lundi;;45.316682;0.565763;Les Bourdeillettes Hautes 24310 Bourdeilles;0.61;locality;24055_B016_248a5b
AQUITAINE;DORDOGNE;01/02/2003;NON;;;Musée Fernand Desmoulin;Boulevard Charlemagne;24310;BRANTOME;Site des musées aquitains ou http://www.perigord-dronne-belle.fr;Janvier;Ouvert du mercredi au dimanche (février, mars, octobre à décembre) de 10h à 12h et de 14h à 17 et  d'avril à juin et septembre de 10h à 18h, et en juillet-août de 10h à 19h tous les jours;;45.364629;0.647342;Boulevard Charlemagne 24310 Brantôme;0.92;street;24064_0035_b5dba4
AQUITAINE;DORDOGNE;01/02/2003;OUI;Non prévu;;Musée-Aquarium;Site Bella-Riva;24100;CREYSSE;;;;;44.854577;0.564797;Impasse Bella Riva 24100 Creysse;0.67;street;24145_0005_81829a
AQUITAINE;DORDOGNE;01/02/2003;NON;;;Musée Paul Reclus;Place de la Halle;24250;DOMME;;;Ouvert tous les jours d'avril à juin et septembre de 10h30 à 12h30 et de 14h30 à 18h, en juillet-août de 10h30 à 19h;;44.803002;1.214222;Place de la Halle 24250 Domme;0.92;street;24152_0110_c6d93e
AQUITAINE;DORDOGNE;06/01/2002;NON;2004;;Musée National de la Préhistoire;B.P. 7;24620;LES EYZIES-DE-TAYAC;www.musee-prehistoire-eyzies.fr;25 décembre, 1er janvier;Ouvert d'octobre à mai du mercredi au lundi de 9h30 à 12h30 et de 14h à 17h30, en juin et en septembre du mercredi au lundi de 9h30 à 18h et en juillet et en août tous les jours de 9h30 à 18h30;;;;;;;
AQUITAINE;DORDOGNE;01/02/2003;OUI;Pas de projet;;Musée Eugène Le Roy et des Vieux Métiers;Place Bertran de Borne;24290;MONTIGNAC;;;;;45.063871;1.163492;Place Bertrand de Born 24290 Montignac;0.83;street;24291_0035_b04a7c
AQUITAINE;DORDOGNE;01/02/2003;NON;;;Musée des Arts et Traditions Populaires du Périgord;2, Rue Raoul Grassin;24400;MUSSIDAN;www.museevoulgre.cjb.net;De décembre à mars;Ouvert du 1er avril au 31 mai week end et jours fériés de 14h à 18h. Du 1er juin au 30 septembre tous les jours de 9h30 à 12h et de 14h à 18h.;;45.037552;0.362147;2 Rue Raoul Grassin 24400 Mussidan;0.92;housenumber;24299_XXXX_7098d0
AQUITAINE;DORDOGNE;01/02/2003;OUI;Non prévue;;Musée Départemental de la Poupée et du Jouet;Avenue du Général Leclerc;24300;NONTRON;Site des musées aquitains;;;;45.527035;0.660711;Avenue du Général Leclerc 24300 Nontron;0.93;street;24311_0540_22b8cb
AQUITAINE;DORDOGNE;01/02/2003;NON;;;Musée d'Art et d'Archéologie du Périgord (MAAP);22, Cours Tourny;24000;PERIGUEUX;http://www.perigueux-maap.fr/;Jours fériés;Ouvert du 1er avril au 30septembre de 10h30 à 17h30 et le week-end de 13h à 18h. Du 1er octobre au 31 mars de 10h à 17h et le week-end de 13h à 18h, les jeudi de 12h à 14h d'octobre à mai;;45.186039;0.72395;22 Cours Tourny 24000 Périgueux;0.93;housenumber;24322_4080_81cc9a
AQUITAINE;DORDOGNE;19/11/2009;NON;;;Musée Gallo-Romain de Vesunna;"Parc de Vésone
20, Rue du 26ème Régiment d'Infanterie";24000;PERIGUEUX;www.vesunna.fr ou http://www.perigueux-vesunna.fr/;Fermeture les 1er et 2ème semaines de janvier, et les jours fériés d'octobre à mars;Ouvert d'avril à juin et septembre du mardi au vendredi de 9h30 à 17h30, le week-end et jours fériés de 10h à 12h30 et de 14h30 à 18h, en juillet-août tous les jours de 10h à 19h, d'octobre à mars du mardi au vendredi de 9h30 à 12h30 et de 13h30 à 17h, le;;45.179999;0.71269;20 Rue 26e Régiment d'Infanterie 24000 Périgueux;0.66;housenumber;24322_XXXX_c3529a
AQUITAINE;DORDOGNE;01/02/2003;NON;;;Musée Militaire - Souvenir du Périgord;32, Rue des Farges;24000;PERIGUEUX;www.museemilitaire-perigord.fr;Jours fériés;Ouvert de janvier à mars de 14h à 18h les mercredis et samedis et d'avril à décembre de 14h à 18h du lundi au samedi;;45.183285;0.720943;32 Rue des Farges 24000 Périgueux;0.93;housenumber;24322_1500_57a965
AQUITAINE;DORDOGNE;01/02/2003;OUI;2012;;Musée du Site Médiéval;;24440;SAINT-AVIT-SENIEUR;;;Fermé depuis 2011;;44.756834;0.842382;Cor 24440 Saint-Avit-Sénieur;0.77;locality;24379_B066_cf641c
AQUITAINE;DORDOGNE;01/02/2003;OUI;Non prévue;;Musée de Sarlat et du Périgord Noir;B.P. 163;24205;SARLAT-LA-CANEDA;Site des musées aquitains;;Ouvert selon les expositions et les périodes;;;;;;;
AQUITAINE;DORDOGNE;01/02/2003;OUI;2013;;Musée d'Art et Traditions Populaires;"Hôtel de ville
Place de la liberté";24610;VILLEFRANCHE-DE-LONCHAT;Site des musées aquitains;;Ouvert de juin à septembre le mardi de 10h à 12h et de 14h à 17h et à la demande le reste de l'année;;;;;;;
AQUITAINE;GIRONDE;01/02/2003;OUI;Non encore prévue;;Musée Municipal de Blasimon;Mairie de Blasimon;33540;BLASIMON;;;;;44.747676;-0.092939;Métairie de la Forêt 33540 Blasimon;0.49;locality;33057_B099_1a6c47
AQUITAINE;GIRONDE;01/02/2003;OUI;Non précisée;;Musée d'Art et d'Histoire du Pays Blayais;Citadelle de Blaye;33390;BLAYE;Site des musées aquitains;;;;45.126379;-0.663606;Place de la Citadelle 33390 Blaye;0.65;street;33058_0080_a6ceb9
AQUITAINE;GIRONDE;01/02/2003;NON;;;Centre National Jean Moulin;"Direction des établissements culturels
48, rue Vital Carles";33000;BORDEAUX;Site de la ville : www.bordeaux.fr;Certains jours fériés;Ouvert du mardi au dimanche de 14h à 18h - (ouvert le 14 juillet et le 15 août);;44.838651;-0.577869;48 Rue Vital Carles 33000 Bordeaux;0.45;housenumber;33063_9445_c3e1e9
